video_id,channel_id,title,published_at,duration_sec,is_short,live_flag,view_count,like_count,comment_count,age_days,views_per_day,likes_per_1k,comments_per_1k,engagement_rate,views_per_min,views_per_sub,weekday,hour,topic_primary,topic_secondary,subscribers,default_audio_language
UT_hTGge_wc,UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-17 14:41:40+00:00,4969,False,none,4549,200,14,42.01366561506944,108.27429440882604,43.96570674873598,3.077599472411519,0.0470433062211475,54.92855705373315,0.0039903508771929,3,14,career/interview,livestream/qa,1140000,en
A42T_b0gwF4,UC7cs8q-gJRlGwj4A8OmCmXg,Filtering and Ordering Data in R | R for Data Analytics Series,2025-07-15 12:00:18+00:00,827,False,none,2468,66,6,44.12572580025463,55.93109133596978,26.74230145867099,2.4311183144246353,0.0291734197730956,179.05683192261185,0.0021649122807017,1,12,r,career/interview,1140000,en
8NfozskpBtY,UC7cs8q-gJRlGwj4A8OmCmXg,If I got hired today here’s exactly what I would do!,2025-07-11 11:34:46+00:00,73,False,none,12834,667,10,48.14345728173611,266.5782792643094,51.97132616487455,0.7791803023219572,0.0527505064671965,10548.493150684932,0.0112578947368421,4,11,general/data,,1140000,en
lpK71OwmG0s,UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-10 14:21:00+00:00,4578,False,none,5327,239,19,49.0280174669213,108.6521600347,44.86577811150742,3.566735498404355,0.0484325136099117,69.81651376146789,0.0046728070175438,3,14,career/interview,livestream/qa,1140000,en
QC1Jased-PA,UC7cs8q-gJRlGwj4A8OmCmXg,Reading and Writing Files in R | R for Data Analytics Series,2025-07-08 12:00:56+00:00,620,False,none,2081,65,6,51.12528598543982,40.70392878765816,31.234983181162903,2.883229216722729,0.0341182123978856,201.3870967741935,0.0018254385964912,1,12,r,career/interview,1140000,en
O5nQKzBb0oc,UC7cs8q-gJRlGwj4A8OmCmXg,Operators in R | R for Data Analytics Series,2025-07-01 12:00:58+00:00,708,False,none,3759,93,8,58.12526283729167,64.67067530554584,24.74062250598563,2.128225591912743,0.0268688480978983,318.5593220338983,0.0032973684210526,1,12,r,career/interview,1140000,en
73S2SJSTgQU,UC7cs8q-gJRlGwj4A8OmCmXg,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",2025-06-24 12:00:13+00:00,689,False,none,6208,114,9,65.12578367062501,95.32322914373034,18.36340206185567,1.449742268041237,0.0198131443298969,540.6095791001452,0.0054456140350877,1,12,r,career/interview,1140000,en
TsnGd6p9oTk,UC7cs8q-gJRlGwj4A8OmCmXg,Installing R and R Studio | R for Data Analytics Series,2025-06-17 12:00:48+00:00,359,False,none,7930,194,13,72.12537857803241,109.9474298276374,24.464060529634303,1.639344262295082,0.0261034047919293,1325.3481894150418,0.0069561403508771,1,12,r,career/interview,1140000,en
DsI1vG-kXR8,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Data Analytics in 2025,2025-06-10 12:00:19+00:00,407,False,none,23380,960,42,79.12571422618056,295.47916538444576,41.06073567151412,1.7964071856287425,0.0428571428571428,3446.6830466830465,0.0205087719298245,1,12,career/interview,,1140000,en
4lhPHhPkVLM,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Data Visualization in 2025,2025-06-03 12:00:19+00:00,268,False,none,12575,362,30,86.12571422618056,146.0074974469987,28.78727634194831,2.385685884691849,0.0311729622266401,2815.2985074626863,0.0110307017543859,1,12,data viz,career/interview,1140000,en
dkU5n0G7FRQ,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Excel in 2025,2025-05-27 12:01:27+00:00,289,False,none,15093,697,16,93.12492718914352,162.0726099398179,46.1803485059299,1.0600940833498973,0.0472404425892798,3133.4948096885814,0.0132394736842105,1,12,excel,career/interview,1140000,en
kagUDLvrcZ8,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Python in 2025,2025-05-20 12:01:32+00:00,309,False,none,22066,799,54,100.12486931877314,220.38480699282857,36.2095531587057,2.447203843016405,0.0386567570017221,4284.660194174757,0.0193561403508771,1,12,python,career/interview,1140000,en
P5uJYPjUtlc,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn SQL in 2025,2025-05-13 12:00:49+00:00,371,False,none,26842,951,35,107.12536700395832,250.56623609054404,35.4295507041204,1.3039266820654198,0.0367334773861858,4341.024258760108,0.0235456140350877,1,12,sql,career/interview,1140000,en
dStNNjOKML4,UC7cs8q-gJRlGwj4A8OmCmXg,How to Practice for General Technical Interviews | Analyst Builder,2025-05-06 12:01:11+00:00,621,False,none,4877,181,18,114.1251123743287,42.73380239051605,37.112979290547464,3.6907935206069302,0.0408037728111543,471.20772946859904,0.0042780701754385,1,12,career/interview,,1140000,en
OQM9x6E3ojo,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Biased Data Collection,2025-04-29 12:00:46+00:00,262,False,none,3378,102,12,121.12540172618056,27.888452396107635,30.19538188277087,3.552397868561279,0.0337477797513321,773.5877862595421,0.0029631578947368,1,12,career/interview,,1140000,en
z39SB95JbDo,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Correlations,2025-04-22 12:01:50+00:00,213,False,none,3430,128,16,128.12466098543982,26.77080254198517,37.31778425655977,4.664723032069971,0.0419825072886297,966.1971830985916,0.0030087719298245,1,12,career/interview,,1140000,en
W5CQb7klLCs,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Cherry Picking Data,2025-04-15 12:00:53+00:00,252,False,none,3817,158,8,135.12532070766204,28.247851550028283,41.39376473670422,2.095886822111606,0.0434896515588158,908.8095238095236,0.003348245614035,1,12,career/interview,,1140000,en
xb5-UX-jYw0,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Averages,2025-04-08 12:01:32+00:00,407,False,none,4314,221,15,142.12486931877314,30.353589914824063,51.228558182661104,3.4770514603616136,0.0547056096430227,635.970515970516,0.0037842105263157,1,12,genai/llm,career/interview,1140000,en
V3ouFOBQP0k,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01 12:00:46+00:00,318,False,none,4564,222,11,149.12540172618054,30.60511453561933,48.64154250657318,2.4101665205959684,0.0510517090271691,861.1320754716982,0.0040035087719298,1,12,career/interview,,1140000,en
oi9W142ELN0,UC7cs8q-gJRlGwj4A8OmCmXg,1 Million YouTube Play Button Unboxing!,2025-03-25 12:01:10+00:00,460,False,none,3239,243,80,156.12512394840277,20.746180487071673,75.02315529484409,24.698981167026854,0.0997221364618709,422.4782608695652,0.0028412280701754,1,12,career/interview,,1140000,en
5n52mlp9Ym0,UC7cs8q-gJRlGwj4A8OmCmXg,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24 12:00:07+00:00,315,False,none,9002,255,41,157.12585311506945,57.291653929207186,28.32703843590313,4.554543434792269,0.0328815818706954,1714.6666666666667,0.0078964912280701,0,12,career/interview,,1140000,en
hgp91KvbJV4,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Misleading Graphs,2025-03-18 12:01:07+00:00,326,False,none,5641,286,22,163.12515867062498,34.58080927534945,50.70023045559298,3.900017727353306,0.0546002481829462,1038.2208588957055,0.004948245614035,1,12,career/interview,,1140000,en
1ql4kNv0_qY,UC7cs8q-gJRlGwj4A8OmCmXg,Where to find the Best Healthcare Data,2025-03-11 12:00:02+00:00,471,False,none,8397,431,24,170.12591098543982,49.357560828689145,51.32785518637608,2.8581636298678097,0.0541860188162438,1069.6815286624203,0.0073657894736842,1,12,career/interview,,1140000,en
r5512UY3MTc,UC7cs8q-gJRlGwj4A8OmCmXg,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05 17:07:10+00:00,6014,False,none,10332,672,68,175.91262394840277,58.73370408612912,65.04065040650407,6.581494386372436,0.0716221447928765,103.07948121050882,0.0090631578947368,2,17,career/interview,livestream/qa,1140000,en
XuOcmjIbFGg,UC7cs8q-gJRlGwj4A8OmCmXg,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",2025-03-04 13:00:44+00:00,916,False,none,9893,449,32,177.08375820766204,55.86621890189786,45.38562620034368,3.2346103305367433,0.0486202365308804,648.0131004366812,0.0086780701754385,1,13,career/interview,,1140000,en
Ka2mDrKEAhg,UC7cs8q-gJRlGwj4A8OmCmXg,How to Become a Healthcare Analyst in 2025,2025-02-25 13:00:21+00:00,1072,False,none,32034,1558,156,184.08402441136573,174.01835983558686,48.63582443653618,4.869825810076794,0.0535056502466129,1792.94776119403,0.0281,1,13,career/interview,,1140000,en
k8nBWL6K884,UC7cs8q-gJRlGwj4A8OmCmXg,What is Healthcare Analytics?,2025-02-18 13:01:11+00:00,656,False,none,30956,1444,85,191.08344570766204,162.00252138722414,46.64685359865616,2.745832794934746,0.0493926863935909,2831.3414634146343,0.0271543859649122,1,13,career/interview,,1140000,en
WpX2F2BS3Qc,UC7cs8q-gJRlGwj4A8OmCmXg,What is Data Cleaning? | Data Fundamentals for Beginners,2025-02-11 13:00:47+00:00,424,False,none,31014,997,28,198.0837234854398,156.5701585889246,32.14677242535629,0.9028180821564455,0.0330495905075127,4388.773584905661,0.0272052631578947,1,13,career/interview,,1140000,en
cd_jj0IRmaA,UC7cs8q-gJRlGwj4A8OmCmXg,What is Data Collection? | Data Fundamentals for Beginners,2025-02-04 13:00:52+00:00,283,False,none,16525,611,16,205.08366561506944,80.57687066612365,36.97428139183056,0.9682299546142208,0.0379425113464447,3503.5335689045937,0.0144956140350877,1,13,career/interview,,1140000,en
OcG0B4ny1cE,UC7cs8q-gJRlGwj4A8OmCmXg,What are File Types? | Data Fundamentals for Beginners,2025-01-28 13:00:34+00:00,387,False,none,11163,393,9,212.0838739484028,52.634836360617456,35.20558989518947,0.8062348830959419,0.0360118247782854,1730.6976744186045,0.0097921052631578,1,13,career/interview,,1140000,en
hXpt8zj_ajc,UC7cs8q-gJRlGwj4A8OmCmXg,What are Data Types? | Data Fundamentals for Beginners,2025-01-21 13:00:55+00:00,294,False,none,12136,458,18,219.0836308928472,55.3943713208572,37.738958470665786,1.4831905075807514,0.0392221489782465,2476.734693877551,0.0106456140350877,1,13,career/interview,,1140000,en
ItZlTixh6Bs,UC7cs8q-gJRlGwj4A8OmCmXg,What are KPIs and Metrics? | Data Fundamental for Beginners,2025-01-14 13:00:34+00:00,346,False,none,22233,1024,34,226.0838739484028,98.33961003814916,46.05766203391355,1.529258309719786,0.0475869203436333,3855.433526011561,0.0195026315789473,1,13,career/interview,,1140000,en
PEWMgtu-1e4,UC7cs8q-gJRlGwj4A8OmCmXg,What is Data? | Data Fundamentals for Beginners,2025-01-07 13:00:35+00:00,416,False,none,22094,905,38,233.0838623743287,94.78991713513574,40.96134697202861,1.71992396125645,0.042681270933285,3186.6346153846152,0.0193807017543859,1,13,career/interview,,1140000,en
hCmEfxy-BXg,UC7cs8q-gJRlGwj4A8OmCmXg,Is Big Tech Overrated in 2025? | Alex The Analyst Show Episode 28,2024-12-31 13:01:01+00:00,2092,False,none,8933,305,68,240.0835614484028,37.20787856572939,34.143065039740286,7.612224336728982,0.0417552893764692,256.20458891013385,0.0078359649122807,1,13,career/interview,,1140000,en
TtCBz1lutsY,UC7cs8q-gJRlGwj4A8OmCmXg,Most Commonly Asked Questions by Aspiring Data Analysts,2024-12-24 13:00:39+00:00,718,False,none,15523,745,36,247.0838160780324,62.82483509602922,47.9933002641242,2.319139341622109,0.0503124396057463,1297.1866295264624,0.0136166666666666,1,13,career/interview,,1140000,en
Ihmq-qeA5Pc,UC7cs8q-gJRlGwj4A8OmCmXg,My Career Progression 7+ Years | Recreational Therapist to Data Analyst | Alex The Analyst Show 27,2024-12-17 13:30:12+00:00,2237,False,none,8737,382,125,254.06329524469908,34.38906825003993,43.72210140780589,14.306970355957422,0.0580290717637633,234.34063477872152,0.0076640350877192,1,13,career/interview,,1140000,en
wQQR60KtnFY,UC7cs8q-gJRlGwj4A8OmCmXg,"Ultimate Data Analyst Bootcamp [24 Hours!] for FREE | SQL, Excel, Tableau, Power BI, Python, Azure",2024-12-10 05:00:49+00:00,84768,False,none,708071,28235,957,261.417033670625,2708.587845473532,39.87594464396932,1.351559377520051,0.0412275040214893,501.18275764439414,0.6211149122807017,1,5,python,sql,1140000,en
oHte3qFa-oY,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",2024-12-03 13:00:56+00:00,6097,False,none,26936,745,40,268.0836193187731,100.47611289509976,27.65815265815266,1.485001485001485,0.0291431541431541,265.07462686567163,0.0236280701754385,1,13,cloud/mlops,career/interview,1140000,en
P7p2OZj9ewU,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",2024-11-26 13:00:27+00:00,4637,False,none,17320,417,24,275.0839549669213,62.96259628113432,24.07621247113164,1.3856812933025404,0.0254618937644341,224.11041621738192,0.0151929824561403,1,13,sql,cloud/mlops,1140000,en
I0vQ_VLZTWg,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",2024-11-19 13:00:31+00:00,7518,False,none,413138,6824,224,282.083908670625,1464.5925815016983,16.517483262251357,0.5421917131805838,0.0170596749754319,3297.190742218675,0.3624017543859649,1,13,data viz,career/interview,1140000,en
tnz72ywhCoo,UC7cs8q-gJRlGwj4A8OmCmXg,Coding with R and AI Now on Analyst Builder!,2024-11-12 13:01:10+00:00,501,False,none,6207,185,16,289.0834572817361,21.471308176416187,29.805058804575477,2.5777348155308526,0.0323827936201063,743.3532934131737,0.0054447368421052,1,13,r,career/interview,1140000,en
j8FSP8XuFyk,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",2024-11-05 13:01:16+00:00,5410,False,none,173128,3072,89,296.08338783729164,584.7271650888431,17.744096853195323,0.5140705143015573,0.0182581673674968,1920.0887245841031,0.1518666666666666,1,13,data viz,career/interview,1140000,en
zXnQNytHCPM,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",2024-10-29 12:01:19+00:00,9516,False,none,84416,2019,80,303.1250197817361,278.4857550220809,23.91726686884003,0.9476876421531464,0.0248649545109931,532.2572509457756,0.0740491228070175,1,12,excel,career/interview,1140000,en
osA1QpBcxRs,UC7cs8q-gJRlGwj4A8OmCmXg,Nobody cares... so just do it!,2024-10-24 12:17:57+00:00,36,True,none,21661,2017,61,308.1134688558102,70.30202243491289,93.11666128064262,2.8161211393749137,0.0959327824200175,36101.66666666667,0.0190008771929824,3,12,general/data,,1140000,en
Mdq1WWSdUtw,UC7cs8q-gJRlGwj4A8OmCmXg,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",2024-10-22 12:00:28+00:00,9607,False,none,85985,2051,56,310.12561005951386,277.2586242829132,23.85299761586323,0.6512763854160609,0.0245042740012792,537.014676798168,0.0754254385964912,1,12,python,sql,1140000,en
CZt2BUpgjgw,UC7cs8q-gJRlGwj4A8OmCmXg,Free Data Analyst Bootcamp 2024,2024-10-17 11:52:50+00:00,31,True,none,15449,1154,41,315.1309109854398,49.02407050990247,74.6973914169202,2.653893455887113,0.0773512848728073,29901.29032258064,0.0135517543859649,3,11,sql,excel,1140000,en
