video_id,channel_id,title,published_at,age_days,views_per_day,engagement_rate,likes_per_1k,comments_per_1k,views_per_min,title_len,emoji_cnt,question_mark_flag,duration_sec,is_short,weekday,hour,topic_primary,topic_secondary,views_per_sub
lpK71OwmG0s,UC7cs8q-gJRlGwj4A8OmCmXg,Alex The Analyst Q/A Livestream | Come Ask Me Anything,2025-07-10 14:21:00+00:00,49.0280174669213,108.6521600347,0.0484325136099117,44.86577811150742,3.566735498404355,69.81651376146789,54,0,False,4578,False,3,14,career/interview,livestream/qa,0.0046728070175438
QC1Jased-PA,UC7cs8q-gJRlGwj4A8OmCmXg,Reading and Writing Files in R | R for Data Analytics Series,2025-07-08 12:00:56+00:00,51.12528598543982,40.70392878765816,0.0341182123978856,31.234983181162903,2.883229216722729,201.3870967741935,60,0,False,620,False,1,12,r,career/interview,0.0018254385964912
O5nQKzBb0oc,UC7cs8q-gJRlGwj4A8OmCmXg,Operators in R | R for Data Analytics Series,2025-07-01 12:00:58+00:00,58.12526283729167,64.67067530554584,0.0268688480978983,24.74062250598563,2.128225591912743,318.5593220338983,44,0,False,708,False,1,12,r,career/interview,0.0032973684210526
73S2SJSTgQU,UC7cs8q-gJRlGwj4A8OmCmXg,"Basics of R | Environment, Variables, Data Types | R for Data Analytics Series",2025-06-24 12:00:13+00:00,65.12578367062501,95.32322914373034,0.0198131443298969,18.36340206185567,1.449742268041237,540.6095791001452,78,0,False,689,False,1,12,r,career/interview,0.0054456140350877
TsnGd6p9oTk,UC7cs8q-gJRlGwj4A8OmCmXg,Installing R and R Studio | R for Data Analytics Series,2025-06-17 12:00:48+00:00,72.12537857803241,109.9474298276374,0.0261034047919293,24.464060529634303,1.639344262295082,1325.3481894150418,55,0,False,359,False,1,12,r,career/interview,0.0069561403508771
DsI1vG-kXR8,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Data Analytics in 2025,2025-06-10 12:00:19+00:00,79.12571422618056,295.47916538444576,0.0428571428571428,41.06073567151412,1.7964071856287425,3446.6830466830465,46,0,False,407,False,1,12,career/interview,none,0.0205087719298245
4lhPHhPkVLM,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Data Visualization in 2025,2025-06-03 12:00:19+00:00,86.12571422618056,146.0074974469987,0.0311729622266401,28.78727634194831,2.385685884691849,2815.2985074626863,50,0,False,268,False,1,12,data viz,career/interview,0.0110307017543859
dkU5n0G7FRQ,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Excel in 2025,2025-05-27 12:01:27+00:00,93.12492718914352,162.0726099398179,0.0472404425892798,46.1803485059299,1.0600940833498973,3133.4948096885814,37,0,False,289,False,1,12,excel,career/interview,0.0132394736842105
kagUDLvrcZ8,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn Python in 2025,2025-05-20 12:01:32+00:00,100.12486931877314,220.38480699282857,0.0386567570017221,36.2095531587057,2.447203843016405,4284.660194174757,38,0,False,309,False,1,12,python,career/interview,0.0193561403508771
P5uJYPjUtlc,UC7cs8q-gJRlGwj4A8OmCmXg,Best Resources to Learn SQL in 2025,2025-05-13 12:00:49+00:00,107.12536700395832,250.56623609054404,0.0367334773861858,35.4295507041204,1.3039266820654198,4341.024258760108,35,0,False,371,False,1,12,sql,career/interview,0.0235456140350877
dStNNjOKML4,UC7cs8q-gJRlGwj4A8OmCmXg,How to Practice for General Technical Interviews | Analyst Builder,2025-05-06 12:01:11+00:00,114.1251123743287,42.73380239051605,0.0408037728111543,37.112979290547464,3.6907935206069302,471.20772946859904,66,0,False,621,False,1,12,career/interview,none,0.0042780701754385
OQM9x6E3ojo,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Biased Data Collection,2025-04-29 12:00:46+00:00,121.12540172618056,27.888452396107635,0.0337477797513321,30.19538188277087,3.552397868561279,773.5877862595421,45,0,False,262,False,1,12,career/interview,none,0.0029631578947368
z39SB95JbDo,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Correlations,2025-04-22 12:01:50+00:00,128.12466098543982,26.77080254198517,0.0419825072886297,37.31778425655977,4.664723032069971,966.1971830985916,35,0,False,213,False,1,12,career/interview,none,0.0030087719298245
W5CQb7klLCs,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Cherry Picking Data,2025-04-15 12:00:53+00:00,135.12532070766204,28.247851550028283,0.0434896515588158,41.39376473670422,2.095886822111606,908.8095238095236,42,0,False,252,False,1,12,career/interview,none,0.003348245614035
xb5-UX-jYw0,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Averages,2025-04-08 12:01:32+00:00,142.12486931877314,30.353589914824063,0.0547056096430227,51.228558182661104,3.4770514603616136,635.970515970516,31,0,False,407,False,1,12,genai/llm,career/interview,0.0037842105263157
V3ouFOBQP0k,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Percentages and Baseline Numbers,2025-04-01 12:00:46+00:00,149.12540172618054,30.60511453561933,0.0510517090271691,48.64154250657318,2.4101665205959684,861.1320754716982,55,0,False,318,False,1,12,career/interview,none,0.0040035087719298
oi9W142ELN0,UC7cs8q-gJRlGwj4A8OmCmXg,1 Million YouTube Play Button Unboxing!,2025-03-25 12:01:10+00:00,156.12512394840277,20.746180487071673,0.0997221364618709,75.02315529484409,24.698981167026854,422.4782608695652,39,0,False,460,False,1,12,career/interview,none,0.0028412280701754
5n52mlp9Ym0,UC7cs8q-gJRlGwj4A8OmCmXg,Maven Analytics + Analyst Builder Lifetime Access (Ends March 31st),2025-03-24 12:00:07+00:00,157.12585311506945,57.291653929207186,0.0328815818706954,28.32703843590313,4.554543434792269,1714.6666666666667,67,0,False,315,False,0,12,career/interview,none,0.0078964912280701
hgp91KvbJV4,UC7cs8q-gJRlGwj4A8OmCmXg,How to Lie with Data | Misleading Graphs,2025-03-18 12:01:07+00:00,163.12515867062498,34.58080927534945,0.0546002481829462,50.70023045559298,3.900017727353306,1038.2208588957055,40,0,False,326,False,1,12,career/interview,none,0.004948245614035
1ql4kNv0_qY,UC7cs8q-gJRlGwj4A8OmCmXg,Where to find the Best Healthcare Data,2025-03-11 12:00:02+00:00,170.12591098543982,49.357560828689145,0.0541860188162438,51.32785518637608,2.8581636298678097,1069.6815286624203,38,0,False,471,False,1,12,career/interview,none,0.0073657894736842
r5512UY3MTc,UC7cs8q-gJRlGwj4A8OmCmXg,1 Million Subscriber Livestream!! Giveaways + Chat,2025-03-05 17:07:10+00:00,175.91262394840277,58.73370408612912,0.0716221447928765,65.04065040650407,6.581494386372436,103.07948121050882,50,0,False,6014,False,2,17,career/interview,livestream/qa,0.0090631578947368
XuOcmjIbFGg,UC7cs8q-gJRlGwj4A8OmCmXg,"Taking a look at Real Healthcare Data | ICD11, CPT, HCPCS, Claims",2025-03-04 13:00:44+00:00,177.08375820766204,55.86621890189786,0.0486202365308804,45.38562620034368,3.2346103305367433,648.0131004366812,65,0,False,916,False,1,13,career/interview,none,0.0086780701754385
Ka2mDrKEAhg,UC7cs8q-gJRlGwj4A8OmCmXg,How to Become a Healthcare Analyst in 2025,2025-02-25 13:00:21+00:00,184.08402441136573,174.01835983558686,0.0535056502466129,48.63582443653618,4.869825810076794,1792.94776119403,42,0,False,1072,False,1,13,career/interview,none,0.0281
k8nBWL6K884,UC7cs8q-gJRlGwj4A8OmCmXg,What is Healthcare Analytics?,2025-02-18 13:01:11+00:00,191.08344570766204,162.00252138722414,0.0493926863935909,46.64685359865616,2.745832794934746,2831.3414634146343,29,0,True,656,False,1,13,career/interview,none,0.0271543859649122
WpX2F2BS3Qc,UC7cs8q-gJRlGwj4A8OmCmXg,What is Data Cleaning? | Data Fundamentals for Beginners,2025-02-11 13:00:47+00:00,198.0837234854398,156.5701585889246,0.0330495905075127,32.14677242535629,0.9028180821564455,4388.773584905661,56,0,True,424,False,1,13,career/interview,none,0.0272052631578947
